CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO
76,"""REGIONAL VALLE""",9229,"""CENTRO DE DISEÑO TECNOLOGICO INDUSTRIAL""",12903723,"""22/01/2024""","""31/01/2024""","""41311582""",1,"""CURSO INTRODUCTORIO A LA FORMACION PROFESIONAL INTEGRAL""","""CURSO ESPECIAL""","""PRESENCIAL""",19,5,202402
5,"""REGIONAL ANTIOQUIA""",9401,"""CENTRO DE SERVICIOS DE SALUD""",12840995,"""02/10/2023""","""31/12/2025""","""121104""",1,"""GESTION ADMINISTRATIVA DEL SECTOR SALUD.""","""TECNOLOGO""","""PRESENCIAL""",27,0,202402
5,"""REGIONAL ANTIOQUIA""",9402,"""CENTRO DE SERVICIOS Y GESTION EMPRESARIAL""",12906324,"""05/02/2024""","""01/03/2024""","""13410029""",2,"""ADMINISTRACION DE RECURSOS HUMANOS""","""CURSO ESPECIAL""","""VIRTUAL""",80,60,202402
25,"""REGIONAL CUNDINAMARCA""",9512,"""CENTRO DE BIOTECNOLOGIA AGROPECUARIA""",12671683,"""23/01/2023""","""22/01/2024""","""836114""",1,"""CONSTRUCCION DE EDIFICACIONES""","""TECNICO""","""PRESENCIAL""",12,0,202402
13,"""REGIONAL BOLIVAR""",9304,"""CENTRO DE COMERCIO Y SERVICIOS""",12909512,"""08/02/2024""","""12/03/2024""","""51240087""",1,"""ENGLISH DOES WORK - LEVEL 1""","""CURSO ESPECIAL""","""VIRTUAL""",80,1,202402
41,"""REGIONAL HUILA""",9526,"""CENTRO DE DESARROLLO AGROEMPRESARIAL Y TURISTICO DEL HUILA""",12721741,"""27/03/2023""","""26/06/2024""","""733402""",1,"""PROYECTOS AGROPECUARIOS.""","""TECNICO""","""VIRTUAL""",43,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9405,"""CENTRO DE SERVICIOS FINANCIEROS""",12770786,"""10/07/2023""","""09/10/2025""","""123101""",1,"""GESTION CONTABLE Y DE INFORMACION FINANCIERA""","""TECNOLOGO""","""PRESENCIAL""",28,0,202402
13,"""REGIONAL BOLIVAR""",9104,"""CENTRO AGROEMPRESARIAL Y MINERO""",12874399,"""22/01/2024""","""21/04/2025""","""225313""",1,"""SOPORTE DE TOPOGRAFIA Y GEORREFERENCIACION""","""TECNICO""","""PRESENCIAL""",22,0,202402
25,"""REGIONAL CUNDINAMARCA""",9510,"""CENTRO AGROECOLOGICO Y EMPRESARIAL""",12705451,"""20/02/2023""","""20/12/2024""","""233102""",1,"""INSTALACION DE REDES DE COMPUTADORES .""","""TECNICO""","""PRESENCIAL""",34,0,202402
76,"""REGIONAL VALLE""",9544,"""CENTRO DE BIOTECNOLOGIA INDUSTRIAL""",12705736,"""27/02/2023""","""16/12/2024""","""133100""",2,"""CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.""","""TECNICO""","""PRESENCIAL""",37,0,202402
25,"""REGIONAL CUNDINAMARCA""",9513,"""CENTRO DE DESARROLLO AGROEMPRESARIAL""",12449463,"""24/01/2022""","""23/01/2024""","""223309""",100,"""AUTOMATIZACION INDUSTRIAL""","""TECNOLOGO""","""PRESENCIAL""",24,0,202402
41,"""REGIONAL HUILA""",9116,"""CENTRO DE FORMACION AGROINDUSTRIAL""",12922974,"""22/02/2024""","""21/03/2024""","""96151461""",2,"""HIGIENE Y MANIPULACION DE ALIMENTOS.""","""CURSO ESPECIAL""","""PRESENCIAL""",27,0,202402
25,"""REGIONAL CUNDINAMARCA""",9513,"""CENTRO DE DESARROLLO AGROEMPRESARIAL""",12728534,"""15/03/2023""","""30/11/2024""","""134200""",2,"""RECURSOS HUMANOS .""","""TECNICO""","""PRESENCIAL""",36,0,202402
76,"""REGIONAL VALLE""",9228,"""CENTRO DE LA CONSTRUCCION""",12921400,"""07/02/2024""","""08/03/2024""","""11110098""",1,"""EXCEL INTERMEDIO""","""CURSO ESPECIAL""","""PRESENCIAL""",16,0,202402
8,"""REGIONAL ATLANTICO""",9302,"""CENTRO DE COMERCIO Y SERVICIOS""",12912307,"""15/02/2024""","""09/05/2024""","""51240078""",1,"""INGLES BASICO - NIVEL 1""","""CURSO ESPECIAL""","""PRESENCIAL""",30,0,202402
5,"""REGIONAL ANTIOQUIA""",9503,"""CENTRO DE LA INNOVACION, LA AGROINDUSTRIA Y LA AVIACION""",12906761,"""12/02/2024""","""11/02/2026""","""621201""",102,"""GESTION EMPRESARIAL""","""TECNOLOGO""","""PRESENCIAL""",30,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9406,"""CENTRO NACIONAL DE HOTELERIA, TURISMO Y ALIMENTOS""",12752842,"""24/04/2023""","""23/07/2024""","""635503""",103,"""COCINA.""","""TECNICO""","""PRESENCIAL""",19,0,202402
52,"""REGIONAL NARIÑO""",9536,"""CENTRO INTERNACIONAL DE PRODUCCION LIMPIA - LOPE""",12696596,"""20/02/2023""","""20/12/2024""","""133100""",2,"""CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.""","""TECNICO""","""PRESENCIAL""",27,0,202402
63,"""REGIONAL QUINDIO""",9231,"""CENTRO PARA EL DESARROLLO TECNOLOGICO DE LA CONSTRUCCION Y LA INDUSTRIA""",12621052,"""06/10/2022""","""05/01/2025""","""821620""",1,"""GESTION DEL MANTENIMIENTO DE AUTOMOTORES.""","""TECNOLOGO""","""PRESENCIAL""",28,0,202402
5,"""REGIONAL ANTIOQUIA""",9503,"""CENTRO DE LA INNOVACION, LA AGROINDUSTRIA Y LA AVIACION""",12879733,"""20/11/2023""","""19/02/2025""","""135303""",1,"""ATENCION INTEGRAL AL CLIENTE""","""TECNICO""","""VIRTUAL""",30,0,202402
50,"""REGIONAL META""",9532,"""CENTRO DE INDUSTRIA Y SERVICIOS DEL META""",12698467,"""20/02/2023""","""30/11/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",22,0,202402
88,"""REGIONAL SAN ANDRES""",9539,"""CENTRO DE FORMACION TURISTICA GENTE DE MAR Y DE SERVICIOS""",12927590,"""27/02/2024""","""29/03/2024""","""51240088""",1,"""ENGLISH DOES WORK - LEVEL 2""","""CURSO ESPECIAL""","""VIRTUAL""",80,0,202402
76,"""REGIONAL VALLE""",9227,"""CENTRO DE ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL - CEAI""",12906154,"""05/02/2024""","""07/03/2024""","""51240099""",1,"""ENGLISH DOES WORK - LEVEL 13""","""CURSO ESPECIAL""","""VIRTUAL""",80,9,202402
15,"""REGIONAL BOYACA""",9305,"""CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL""",12693809,"""01/03/2023""","""13/12/2024""","""524704""",1,"""INTEGRACION DE CONTENIDOS DIGITALES.""","""TECNICO""","""PRESENCIAL""",18,0,202402
17,"""REGIONAL CALDAS""",9515,"""CENTRO PECUARIO Y AGROEMPRESARIAL""",12908217,"""07/02/2024""","""11/03/2024""","""51240088""",1,"""ENGLISH DOES WORK - LEVEL 2""","""CURSO ESPECIAL""","""VIRTUAL""",80,1,202402
8,"""REGIONAL ATLANTICO""",9207,"""CENTRO NACIONAL COLOMBO ALEMAN""",12904774,"""23/01/2024""","""02/04/2024""","""41311582""",1,"""CURSO INTRODUCTORIO A LA FORMACION PROFESIONAL INTEGRAL""","""CURSO ESPECIAL""","""PRESENCIAL""",25,0,202402
44,"""REGIONAL GUAJIRA""",9222,"""CENTRO INDUSTRIAL Y DE ENERGIAS ALTERNATIVAS""",12875937,"""22/01/2024""","""21/04/2025""","""845102""",2,"""OPERACION DE MAQUINARIA PESADA PARA EXCAVACION.""","""TECNICO""","""PRESENCIAL""",29,1,202402
19,"""REGIONAL CAUCA""",9221,"""CENTRO DE TELEINFORMATICA Y PRODUCCION INDUSTRIAL""",12702311,"""20/02/2023""","""13/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",31,0,202402
15,"""REGIONAL BOYACA""",9305,"""CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL""",12713367,"""17/04/2023""","""16/07/2024""","""133100""",2,"""CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.""","""TECNICO""","""PRESENCIAL""",25,0,202402
68,"""REGIONAL SANTANDER""",9541,"""CENTRO AGROTURISTICO""",12902307,"""01/02/2024""","""12/12/2025""","""522211""",2,"""ELABORACION DE AUDIOVISUALES.""","""TECNICO""","""PRESENCIAL""",39,0,202402
76,"""REGIONAL VALLE""",9228,"""CENTRO DE LA CONSTRUCCION""",12915934,"""12/02/2024""","""17/02/2024""","""22620489""",1,"""TRABAJADOR AUTORIZADO PARA TRABAJO EN ALTURAS""","""CURSO ESPECIAL""","""PRESENCIAL""",19,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9508,"""CENTRO DE FORMACION EN ACTIVIDAD FISICA Y CULTURA""",12617767,"""06/10/2022""","""05/01/2025""","""513208""",1,"""COORDINACION DE ESCUELAS DE MUSICA""","""TECNOLOGO""","""A DISTANCIA""",18,0,202402
76,"""REGIONAL VALLE""",9125,"""CENTRO LATINOAMERICANO DE ESPECIES MENORES""",12914431,"""19/02/2024""","""01/04/2024""","""41311222""",1,"""GESTION DE SISTEMAS SILVOPASTORILES Y BANCOS DE FORRAJES""","""CURSO ESPECIAL""","""PRESENCIAL""",20,0,202402
