CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO
13,"""REGIONAL BOLIVAR""",9304,"""CENTRO DE COMERCIO Y SERVICIOS""",12709991,"""27/02/2023""","""16/12/2024""","""635503""",103,"""COCINA.""","""TECNICO""","""PRESENCIAL""",33,0,202402
19,"""REGIONAL CAUCA""",9113,"""CENTRO AGROPECUARIO""",12860879,"""17/10/2023""","""01/03/2025""","""635604""",1,"""SERVICIOS DE BARISMO""","""TECNICO""","""PRESENCIAL""",21,0,202402
76,"""REGIONAL VALLE""",9544,"""CENTRO DE BIOTECNOLOGIA INDUSTRIAL""",12710859,"""27/02/2023""","""16/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",39,0,202402
19,"""REGIONAL CAUCA""",9113,"""CENTRO AGROPECUARIO""",12615282,"""06/10/2022""","""05/10/2024""","""112005""",101,"""GESTION DEL TALENTO HUMANO""","""TECNOLOGO""","""PRESENCIAL""",24,0,202402
20,"""REGIONAL CESAR""",9520,"""CENTRO AGROEMPRESARIAL""",12715260,"""06/03/2023""","""13/12/2024""","""134200""",2,"""RECURSOS HUMANOS .""","""TECNICO""","""PRESENCIAL""",24,0,202402
76,"""REGIONAL VALLE""",9124,"""CENTRO AGROPECUARIO DE BUGA""",12713214,"""01/03/2023""","""15/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",22,0,202402
17,"""REGIONAL CALDAS""",9112,"""CENTRO PARA LA FORMACION CAFETERA""",12721335,"""27/03/2023""","""26/06/2025""","""723179""",1,"""GESTION AGROEMPRESARIAL""","""TECNOLOGO""","""VIRTUAL""",31,0,202402
13,"""REGIONAL BOLIVAR""",9304,"""CENTRO DE COMERCIO Y SERVICIOS""",12909270,"""08/02/2024""","""06/03/2024""","""13410029""",2,"""ADMINISTRACION DE RECURSOS HUMANOS""","""CURSO ESPECIAL""","""VIRTUAL""",80,1,202402
11,"""REGIONAL DISTRITO CAPITAL""",9405,"""CENTRO DE SERVICIOS FINANCIEROS""",12914465,"""19/02/2024""","""27/02/2024""","""12110081""",1,"""LIDERAZGO EFECTIVO""","""CURSO ESPECIAL""","""PRESENCIAL""",25,0,202402
13,"""REGIONAL BOLIVAR""",9218,"""CENTRO PARA LA INDUSTRIA PETROQUIMICA""",12740276,"""29/03/2023""","""16/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",32,0,202402
8,"""REGIONAL ATLANTICO""",9302,"""CENTRO DE COMERCIO Y SERVICIOS""",12918237,"""06/02/2024""","""27/02/2024""","""63220082""",1,"""MERCADEO Y VENTAS""","""CURSO ESPECIAL""","""PRESENCIAL""",24,0,202402
20,"""REGIONAL CESAR""",9520,"""CENTRO AGROEMPRESARIAL""",12715268,"""06/03/2023""","""13/12/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",42,0,202402
23,"""REGIONAL CORDOBA""",9115,"""CENTRO AGROPECUARIO Y DE BIOTECNOLOGIA EL PORVENIR""",12747367,"""13/04/2023""","""20/11/2024""","""233104""",2,"""PROGRAMACION DE SOFTWARE .""","""TECNICO""","""PRESENCIAL""",26,0,202402
5,"""REGIONAL ANTIOQUIA""",9206,"""CENTRO TEXTIL Y DE GESTION INDUSTRIAL""",12687974,"""05/12/2022""","""04/03/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",16,0,202402
19,"""REGIONAL CAUCA""",9113,"""CENTRO AGROPECUARIO""",12786356,"""21/06/2023""","""20/09/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",21,0,202402
66,"""REGIONAL RISARALDA""",9121,"""CENTRO ATENCION SECTOR AGROPECUARIO""",12729995,"""16/03/2023""","""30/11/2024""","""635503""",103,"""COCINA.""","""TECNICO""","""PRESENCIAL""",33,0,202402
73,"""REGIONAL TOLIMA""",9310,"""CENTRO DE COMERCIO Y SERVICIOS""",12706192,"""11/03/2023""","""30/11/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",26,0,202402
13,"""REGIONAL BOLIVAR""",9218,"""CENTRO PARA LA INDUSTRIA PETROQUIMICA""",12910192,"""09/02/2024""","""13/03/2024""","""51240087""",1,"""ENGLISH DOES WORK - LEVEL 1""","""CURSO ESPECIAL""","""VIRTUAL""",80,2,202402
11,"""REGIONAL DISTRITO CAPITAL""",9405,"""CENTRO DE SERVICIOS FINANCIEROS""",12910682,"""09/02/2024""","""07/03/2024""","""12310175""",1,"""CUENTAS CONTABLES""","""CURSO ESPECIAL""","""VIRTUAL""",80,2,202402
68,"""REGIONAL SANTANDER""",9309,"""CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS""",12907634,"""06/02/2024""","""08/03/2024""","""51240087""",1,"""ENGLISH DOES WORK - LEVEL 1""","""CURSO ESPECIAL""","""VIRTUAL""",80,2,202402
13,"""REGIONAL BOLIVAR""",9304,"""CENTRO DE COMERCIO Y SERVICIOS""",12913777,"""19/02/2024""","""27/02/2024""","""33110233""",2,"""PRIMEROS AUXILIOS""","""CURSO ESPECIAL""","""PRESENCIAL""",32,0,202402
20,"""REGIONAL CESAR""",9520,"""CENTRO AGROEMPRESARIAL""",12715266,"""06/03/2023""","""13/12/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",40,0,202402
13,"""REGIONAL BOLIVAR""",9104,"""CENTRO AGROEMPRESARIAL Y MINERO""",12731676,"""22/03/2023""","""29/11/2024""","""635239""",1,"""PANIFICACION""","""TECNICO""","""PRESENCIAL""",30,0,202402
68,"""REGIONAL SANTANDER""",9225,"""CENTRO INDUSTRIAL DEL DISEÑO Y LA MANUFACTURA""",12905894,"""12/02/2024""","""11/12/2025""","""233108""",1,"""SISTEMAS TELEINFORMATICOS""","""TECNICO""","""PRESENCIAL""",34,0,202402
73,"""REGIONAL TOLIMA""",9226,"""CENTRO DE INDUSTRIA Y CONSTRUCCION""",12617948,"""06/10/2022""","""05/01/2024""","""832202""",2,"""INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES""","""TECNICO""","""PRESENCIAL""",26,1,202402
76,"""REGIONAL VALLE""",9227,"""CENTRO DE ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL - CEAI""",12702841,"""01/03/2023""","""30/11/2024""","""233104""",2,"""PROGRAMACION DE SOFTWARE .""","""TECNICO""","""PRESENCIAL""",30,0,202402
20,"""REGIONAL CESAR""",9520,"""CENTRO AGROEMPRESARIAL""",12617486,"""06/10/2022""","""05/01/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",34,0,202402
76,"""REGIONAL VALLE""",9124,"""CENTRO AGROPECUARIO DE BUGA""",12712018,"""01/03/2023""","""15/12/2024""","""222301""",1,"""MONITOREO AMBIENTAL""","""TECNICO""","""PRESENCIAL""",16,0,202402
20,"""REGIONAL CESAR""",9114,"""CENTRO BIOTECNOLOGICO DEL CARIBE""",12717770,"""11/03/2023""","""02/12/2024""","""733302""",2,"""MANEJO DE VIVEROS""","""TECNICO""","""PRESENCIAL""",30,0,202402
20,"""REGIONAL CESAR""",9520,"""CENTRO AGROEMPRESARIAL""",12774555,"""10/07/2023""","""09/10/2024""","""733410""",101,"""PRODUCCION AGROPECUARIA""","""TECNICO""","""PRESENCIAL""",25,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9215,"""CENTRO DE MATERIALES Y ENSAYOS""",12709121,"""13/03/2023""","""16/12/2024""","""233104""",2,"""PROGRAMACION DE SOFTWARE .""","""TECNICO""","""PRESENCIAL""",35,0,202402
76,"""REGIONAL VALLE""",9124,"""CENTRO AGROPECUARIO DE BUGA""",12713165,"""01/03/2023""","""15/12/2024""","""635503""",103,"""COCINA.""","""TECNICO""","""PRESENCIAL""",28,1,202402
63,"""REGIONAL QUINDIO""",9538,"""CENTRO DE COMERCIO Y TURISMO""",12911231,"""16/02/2024""","""26/04/2024""","""51240076""",1,"""INGLES BASICO - NIVEL 4""","""CURSO ESPECIAL""","""PRESENCIAL""",45,0,202402
13,"""REGIONAL BOLIVAR""",9104,"""CENTRO AGROEMPRESARIAL Y MINERO""",12874220,"""22/01/2024""","""21/04/2025""","""635503""",103,"""COCINA.""","""TECNICO""","""PRESENCIAL""",30,1,202402
68,"""REGIONAL SANTANDER""",9546,"""CENTRO DE GESTION AGROEMPRESARIAL DEL ORIENTE""",12773263,"""10/07/2023""","""09/07/2025""","""621201""",102,"""GESTION EMPRESARIAL""","""TECNOLOGO""","""PRESENCIAL""",20,0,202402
5,"""REGIONAL ANTIOQUIA""",9401,"""CENTRO DE SERVICIOS DE SALUD""",12820929,"""02/10/2023""","""31/12/2025""","""525214""",2,"""ACTIVIDAD FISICA""","""TECNOLOGO""","""PRESENCIAL""",26,0,202402
19,"""REGIONAL CAUCA""",9307,"""CENTRO DE COMERCIO Y SERVICIOS""",12915130,"""15/02/2024""","""07/03/2024""","""13530025""",2,"""SERVICIO AL CLIENTE""","""CURSO ESPECIAL""","""PRESENCIAL""",28,0,202402
17,"""REGIONAL CALDAS""",9306,"""CENTRO DE COMERCIO Y SERVICIOS""",12617489,"""06/10/2022""","""05/04/2024""","""331120""",3,"""ENFERMERIA.""","""TECNICO""","""PRESENCIAL""",20,0,202402
73,"""REGIONAL TOLIMA""",9226,"""CENTRO DE INDUSTRIA Y CONSTRUCCION""",12670458,"""23/01/2023""","""22/04/2024""","""838318""",1,"""MANTENIMIENTO DE MOTOCICLETAS Y MOTOCARROS.""","""TECNICO""","""PRESENCIAL""",26,7,202402
54,"""REGIONAL NORTE DE SANTANDER""",9119,"""CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO""",12905088,"""12/02/2024""","""29/02/2024""","""73110000""",1,"""SEGURIDAD Y SALUD EN LABORES MINERAS SUBTERRANEAS - AVANZADO PARA PERSONAL OPERATIVO""","""CURSO ESPECIAL""","""PRESENCIAL""",46,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9215,"""CENTRO DE MATERIALES Y ENSAYOS""",12711237,"""27/02/2023""","""26/05/2024""","""233104""",2,"""PROGRAMACION DE SOFTWARE .""","""TECNICO""","""PRESENCIAL""",25,0,202402
8,"""REGIONAL ATLANTICO""",9207,"""CENTRO NACIONAL COLOMBO ALEMAN""",12904777,"""22/01/2024""","""01/04/2024""","""41311582""",1,"""CURSO INTRODUCTORIO A LA FORMACION PROFESIONAL INTEGRAL""","""CURSO ESPECIAL""","""PRESENCIAL""",23,0,202402
86,"""REGIONAL PUTUMAYO""",9518,"""CENTRO AGROFORESTAL Y ACUICOLA ARAPAIMA""",12912115,"""12/02/2024""","""14/03/2024""","""51240087""",1,"""ENGLISH DOES WORK - LEVEL 1""","""CURSO ESPECIAL""","""VIRTUAL""",80,1,202402
23,"""REGIONAL CORDOBA""",9523,"""CENTRO DE COMERCIO, INDUSTRIA Y TURISMO DE CORDOBA""",12617754,"""06/10/2022""","""05/01/2024""","""222301""",1,"""MONITOREO AMBIENTAL""","""TECNICO""","""PRESENCIAL""",24,1,202402
76,"""REGIONAL VALLE""",9229,"""CENTRO DE DISEÑO TECNOLOGICO INDUSTRIAL""",12823391,"""02/10/2023""","""17/03/2024""","""935156""",2,"""MANEJO DE MAQUINAS DE CONFECCION INDUSTRIAL PARA ROPA INTERIOR Y DEPORTIVA""","""OPERARIO""","""PRESENCIAL""",29,3,202402
8,"""REGIONAL ATLANTICO""",9208,"""CENTRO INDUSTRIAL Y DE AVIACION""",12922327,"""22/02/2024""","""26/03/2024""","""21720197""",1,"""CONCEPTOS Y USOS PARA ADMINISTRADORES DE BASES DE DATOS CON MICROSOFT ACCESS.""","""CURSO ESPECIAL""","""VIRTUAL""",80,4,202402
68,"""REGIONAL SANTANDER""",9540,"""CENTRO INDUSTRIAL Y DEL DESARROLLO TECNOLOGICO""",12720046,"""28/03/2023""","""30/11/2024""","""733410""",101,"""PRODUCCION AGROPECUARIA""","""TECNICO""","""PRESENCIAL""",30,0,202402
73,"""REGIONAL TOLIMA""",9310,"""CENTRO DE COMERCIO Y SERVICIOS""",12881926,"""20/11/2023""","""19/02/2026""","""228118""",1,"""ANALISIS Y DESARROLLO DE SOFTWARE.""","""TECNOLOGO""","""VIRTUAL""",97,1,202402
70,"""REGIONAL SUCRE""",9542,"""CENTRO DE LA INNOVACION, LA TECNOLOGIA Y LOS SERVICIOS""",12675321,"""01/02/2023""","""31/12/2024""","""733302""",2,"""MANEJO DE VIVEROS""","""TECNICO""","""PRESENCIAL""",28,0,202402
15,"""REGIONAL BOYACA""",9305,"""CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL""",12910966,"""12/02/2024""","""08/03/2024""","""51130033""",1,"""ADMINISTRACION DOCUMENTAL EN EL ENTORNO LABORAL""","""CURSO ESPECIAL""","""VIRTUAL""",80,2,202402
5,"""REGIONAL ANTIOQUIA""",9204,"""CENTRO DE TECNOLOGIA DE LA MANUFACTURA AVANZADA.""",12449794,"""24/01/2022""","""23/01/2024""","""821609""",1,"""MANTENIMIENTO MECANICO INDUSTRIAL""","""TECNOLOGO""","""PRESENCIAL""",13,0,202402
63,"""REGIONAL QUINDIO""",9120,"""CENTRO AGROINDUSTRIAL""",12747836,"""17/04/2023""","""16/10/2024""","""733410""",101,"""PRODUCCION AGROPECUARIA""","""TECNICO""","""PRESENCIAL""",22,0,202402
66,"""REGIONAL RISARALDA""",9121,"""CENTRO ATENCION SECTOR AGROPECUARIO""",12915369,"""20/02/2024""","""21/05/2024""","""63520166""",1,"""PROCESOS BASICOS DE PANADERIA""","""CURSO ESPECIAL""","""PRESENCIAL""",24,0,202402
25,"""REGIONAL CUNDINAMARCA""",9512,"""CENTRO DE BIOTECNOLOGIA AGROPECUARIA""",12651851,"""06/10/2022""","""06/01/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",13,0,202402
27,"""REGIONAL CHOCO""",9522,"""CENTRO DE RECURSOS NATURALES, INDUSTRIA Y BIODIVERSIDAD""",12705673,"""27/02/2023""","""15/11/2024""","""733410""",101,"""PRODUCCION AGROPECUARIA""","""TECNICO""","""PRESENCIAL""",20,0,202402
68,"""REGIONAL SANTANDER""",9309,"""CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS""",12627053,"""05/09/2022""","""04/12/2024""","""228118""",1,"""ANALISIS Y DESARROLLO DE SOFTWARE.""","""TECNOLOGO""","""VIRTUAL""",8,0,202402
73,"""REGIONAL TOLIMA""",9310,"""CENTRO DE COMERCIO Y SERVICIOS""",12907525,"""08/02/2024""","""24/02/2024""","""13410564""",1,"""MANEJO INTERMEDIO DE LA HERRAMIENTA DE HOJAS DE CALCULO EXCEL""","""CURSO ESPECIAL""","""PRESENCIAL""",29,0,202402
27,"""REGIONAL CHOCO""",9522,"""CENTRO DE RECURSOS NATURALES, INDUSTRIA Y BIODIVERSIDAD""",12876812,"""22/01/2024""","""21/04/2025""","""832202""",2,"""INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES""","""TECNICO""","""PRESENCIAL""",35,0,202402
52,"""REGIONAL NARIÑO""",9534,"""CENTRO SUR COLOMBIANO DE LOGISTICA INTERNACIONAL""",12929052,"""27/02/2024""","""25/03/2024""","""12310017""",1,"""ADMINISTRACION Y CONTROL DE INVENTARIOS""","""CURSO ESPECIAL""","""VIRTUAL""",80,0,202402
20,"""REGIONAL CESAR""",9520,"""CENTRO AGROEMPRESARIAL""",12875607,"""22/01/2024""","""21/04/2025""","""631101""",2,"""ASESORIA COMERCIAL""","""TECNICO""","""PRESENCIAL""",30,1,202402
8,"""REGIONAL ATLANTICO""",9207,"""CENTRO NACIONAL COLOMBO ALEMAN""",12920570,"""09/02/2024""","""05/04/2024""","""21730067""",1,"""INFORMATICA: MICROSOFT WORD, EXCEL E INTERNET""","""CURSO ESPECIAL""","""PRESENCIAL""",25,0,202402
25,"""REGIONAL CUNDINAMARCA""",9511,"""CENTRO DE LA TECNOLOGIA DEL DISEÑO Y LA PRODUCTIVIDAD EMPRESARIAL""",12906551,"""05/02/2024""","""01/03/2024""","""13410029""",2,"""ADMINISTRACION DE RECURSOS HUMANOS""","""CURSO ESPECIAL""","""VIRTUAL""",80,47,202402
13,"""REGIONAL BOLIVAR""",9218,"""CENTRO PARA LA INDUSTRIA PETROQUIMICA""",12738704,"""27/03/2023""","""16/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",32,0,202402
20,"""REGIONAL CESAR""",9114,"""CENTRO BIOTECNOLOGICO DEL CARIBE""",12877040,"""22/01/2024""","""21/01/2026""","""921321""",1,"""PROCESAMIENTO DE ALIMENTOS""","""TECNOLOGO""","""PRESENCIAL""",33,0,202402
19,"""REGIONAL CAUCA""",9221,"""CENTRO DE TELEINFORMATICA Y PRODUCCION INDUSTRIAL""",12917063,"""21/02/2024""","""07/03/2024""","""41311536""",1,"""DISEÑO DE CABLEADO DE REDES DE DATOS PARA TELECOMUNICACIONES""","""CURSO ESPECIAL""","""PRESENCIAL""",19,0,202402
19,"""REGIONAL CAUCA""",9307,"""CENTRO DE COMERCIO Y SERVICIOS""",12927430,"""25/02/2024""","""30/06/2024""","""62330148""",1,"""DESARROLLO DE PROYECTOS EMPRENDEDORES EN PROCESAMIENTO DE ALIMENTOS""","""CURSO ESPECIAL""","""PRESENCIAL""",22,0,202402
63,"""REGIONAL QUINDIO""",9120,"""CENTRO AGROINDUSTRIAL""",12910575,"""14/02/2024""","""13/03/2024""","""93610000""",1,"""MANIPULACION DE ALIMENTOS""","""CURSO ESPECIAL""","""PRESENCIAL""",28,0,202402
47,"""REGIONAL MAGDALENA""",9529,"""CENTRO DE LOGISTICA Y PROMOCION ECOTURISTICA DEL MAGDALENA""",12700316,"""11/02/2023""","""16/12/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",28,0,202402
18,"""REGIONAL CAQUETA""",9516,"""CENTRO TECNOLOGICO DE LA AMAZONIA""",12696979,"""06/02/2023""","""16/12/2024""","""941106""",1,"""MECANIZADO EN TORNO Y FRESADORA CONVENCIONAL""","""TECNICO""","""PRESENCIAL""",21,0,202402
13,"""REGIONAL BOLIVAR""",9304,"""CENTRO DE COMERCIO Y SERVICIOS""",12911560,"""18/02/2024""","""23/02/2024""","""63720044""",1,"""ESTRATEGIAS PEDAGOGICAS PARA LA ATENCION DE NIÑOS DE 6 A 12 AÑOS""","""CURSO ESPECIAL""","""PRESENCIAL""",38,2,202402
25,"""REGIONAL CUNDINAMARCA""",9512,"""CENTRO DE BIOTECNOLOGIA AGROPECUARIA""",12671449,"""23/01/2023""","""22/04/2024""","""233104""",1,"""PROGRAMACION DE SOFTWARE .""","""TECNICO""","""PRESENCIAL""",19,0,202402
5,"""REGIONAL ANTIOQUIA""",9503,"""CENTRO DE LA INNOVACION, LA AGROINDUSTRIA Y LA AVIACION""",12893692,"""25/11/2023""","""24/05/2025""","""122115""",100,"""GESTION ADMINISTRATIVA""","""TECNOLOGO""","""PRESENCIAL""",23,2,202402
63,"""REGIONAL QUINDIO""",9538,"""CENTRO DE COMERCIO Y TURISMO""",12721535,"""27/03/2023""","""26/06/2025""","""228118""",1,"""ANALISIS Y DESARROLLO DE SOFTWARE.""","""TECNOLOGO""","""VIRTUAL""",49,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9406,"""CENTRO NACIONAL DE HOTELERIA, TURISMO Y ALIMENTOS""",12620459,"""06/10/2022""","""05/01/2024""","""633400""",2,"""SERVICIO DE RECEPCION HOTELERA""","""TECNICO""","""PRESENCIAL""",20,0,202402
17,"""REGIONAL CALDAS""",9112,"""CENTRO PARA LA FORMACION CAFETERA""",12773101,"""10/07/2023""","""09/10/2024""","""936113""",1,"""ELABORACION DE PRODUCTOS ALIMENTICIOS.""","""TECNICO""","""PRESENCIAL""",24,3,202402
73,"""REGIONAL TOLIMA""",9310,"""CENTRO DE COMERCIO Y SERVICIOS""",12839606,"""11/09/2023""","""10/12/2024""","""635503""",103,"""COCINA.""","""TECNICO""","""PRESENCIAL""",25,0,202402
76,"""REGIONAL VALLE""",9124,"""CENTRO AGROPECUARIO DE BUGA""",12710731,"""01/03/2023""","""15/12/2024""","""524704""",1,"""INTEGRACION DE CONTENIDOS DIGITALES.""","""TECNICO""","""PRESENCIAL""",19,0,202402
76,"""REGIONAL VALLE""",9543,"""CENTRO DE TECNOLOGIAS AGROINDUSTRIALES""",12697394,"""28/02/2023""","""30/11/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",31,0,202402
8,"""REGIONAL ATLANTICO""",9207,"""CENTRO NACIONAL COLOMBO ALEMAN""",12904505,"""23/01/2024""","""04/04/2024""","""41311608""",1,"""EVALUACION DEL APRENDIZAJE EN LA FORMACION PROFESIONAL INTEGRAL""","""CURSO ESPECIAL""","""PRESENCIAL""",24,0,202402
76,"""REGIONAL VALLE""",9311,"""CENTRO DE GESTION TECNOLOGICA DE SERVICIOS""",12696746,"""20/02/2023""","""30/11/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",35,0,202402
23,"""REGIONAL CORDOBA""",9523,"""CENTRO DE COMERCIO, INDUSTRIA Y TURISMO DE CORDOBA""",12834913,"""11/09/2023""","""10/12/2025""","""228118""",1,"""ANALISIS Y DESARROLLO DE SOFTWARE.""","""TECNOLOGO""","""VIRTUAL""",49,0,202402
5,"""REGIONAL ANTIOQUIA""",9127,"""CENTRO DE FORMACION MINERO AMBIENTAL""",12771654,"""10/07/2023""","""09/10/2024""","""133100""",2,"""CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.""","""TECNICO""","""PRESENCIAL""",34,0,202402
25,"""REGIONAL CUNDINAMARCA""",9510,"""CENTRO AGROECOLOGICO Y EMPRESARIAL""",12705341,"""20/02/2023""","""20/12/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",21,0,202402
50,"""REGIONAL META""",9117,"""CENTRO AGROINDUSTRIAL DEL META""",12709936,"""25/02/2023""","""30/11/2024""","""733193""",1,"""SISTEMAS AGROPECUARIOS ECOLOGICOS.""","""TECNICO""","""PRESENCIAL""",27,0,202402
54,"""REGIONAL NORTE DE SANTANDER""",9537,"""CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS""",12719775,"""21/03/2023""","""06/12/2024""","""233101""",1,"""SISTEMAS.""","""TECNICO""","""PRESENCIAL""",30,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9406,"""CENTRO NACIONAL DE HOTELERIA, TURISMO Y ALIMENTOS""",12826072,"""02/10/2023""","""01/01/2026""","""621600""",1,"""COORDINACION DE SERVICIOS HOTELEROS""","""TECNOLOGO""","""PRESENCIAL""",15,1,202402
76,"""REGIONAL VALLE""",9125,"""CENTRO LATINOAMERICANO DE ESPECIES MENORES""",12692856,"""01/02/2023""","""16/12/2024""","""633100""",1,"""OPERACION TURISTICA LOCAL""","""TECNICO""","""PRESENCIAL""",14,2,202402
66,"""REGIONAL RISARALDA""",9308,"""CENTRO DE COMERCIO Y SERVICIOS""",12874350,"""22/01/2024""","""21/01/2026""","""822202""",1,"""GESTION LOGISTICA""","""TECNOLOGO""","""PRESENCIAL""",30,1,202402
52,"""REGIONAL NARIÑO""",9535,"""CENTRO AGROINDUSTRIAL Y PESQUERO DE LA COSTA PACIFICA""",12770321,"""10/07/2023""","""09/10/2024""","""134101""",2,"""ASISTENCIA ADMINISTRATIVA .""","""TECNICO""","""PRESENCIAL""",34,0,202402
68,"""REGIONAL SANTANDER""",9309,"""CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS""",12670796,"""23/01/2023""","""22/01/2025""","""122115""",100,"""GESTION ADMINISTRATIVA""","""TECNOLOGO""","""PRESENCIAL""",25,0,202402
76,"""REGIONAL VALLE""",9544,"""CENTRO DE BIOTECNOLOGIA INDUSTRIAL""",12429595,"""16/11/2021""","""21/03/2024""","""222102""",1,"""CONTROL DE BIOPROCESOS INDUSTRIALES""","""TECNOLOGO""","""PRESENCIAL""",20,0,202402
15,"""REGIONAL BOYACA""",9305,"""CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL""",12693735,"""01/03/2023""","""13/12/2024""","""133100""",2,"""CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.""","""TECNICO""","""PRESENCIAL""",25,0,202402
19,"""REGIONAL CAUCA""",9307,"""CENTRO DE COMERCIO Y SERVICIOS""",12561108,"""18/07/2022""","""17/07/2024""","""121202""",101,"""GESTION BANCARIA Y DE ENTIDADES FINANCIERAS""","""TECNOLOGO""","""PRESENCIAL""",17,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9211,"""CENTRO DE GESTION INDUSTRIAL""",12671245,"""23/01/2023""","""22/01/2025""","""226245""",1,"""GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO""","""TECNOLOGO""","""PRESENCIAL""",22,0,202402
11,"""REGIONAL DISTRITO CAPITAL""",9209,"""CENTRO DE TECNOLOGIAS PARA LA CONSTRUCCION Y LA MADERA""",12654203,"""06/10/2022""","""06/01/2024""","""845102""",1,"""OPERACION DE MAQUINARIA PESADA PARA EXCAVACION.""","""TECNICO""","""PRESENCIAL""",18,0,202402
5,"""REGIONAL ANTIOQUIA""",9127,"""CENTRO DE FORMACION MINERO AMBIENTAL""",12469639,"""17/12/2021""","""16/03/2024""","""721103""",1,"""SUPERVISION DE PROCESOS MINEROS""","""TECNOLOGO""","""PRESENCIAL""",17,0,202402
73,"""REGIONAL TOLIMA""",9226,"""CENTRO DE INDUSTRIA Y CONSTRUCCION""",12910423,"""12/02/2024""","""27/02/2024""","""86110505""",1,"""PALETERO, SEÑALIZADOR DE VIAS EN OBRAS CIVILES""","""CURSO ESPECIAL""","""PRESENCIAL""",27,0,202402
76,"""REGIONAL VALLE""",9544,"""CENTRO DE BIOTECNOLOGIA INDUSTRIAL""",12901568,"""05/02/2024""","""13/03/2024""","""13350037""",1,"""DISEÑO, LIQUIDACION Y PAGO DE NOMINA.""","""CURSO ESPECIAL""","""PRESENCIAL""",15,0,202402
68,"""REGIONAL SANTANDER""",9541,"""CENTRO AGROTURISTICO""",12907717,"""07/02/2024""","""05/03/2024""","""73310066""",2,"""AGRICULTURA ECOLOGICA: FERTILIZACION, SUELOS Y CULTIVOS""","""CURSO ESPECIAL""","""VIRTUAL""",80,3,202402
13,"""REGIONAL BOLIVAR""",9304,"""CENTRO DE COMERCIO Y SERVICIOS""",12929086,"""27/02/2024""","""29/03/2024""","""51240087""",1,"""ENGLISH DOES WORK - LEVEL 1""","""CURSO ESPECIAL""","""VIRTUAL""",80,1,202402
5,"""REGIONAL ANTIOQUIA""",9206,"""CENTRO TEXTIL Y DE GESTION INDUSTRIAL""",12824409,"""02/10/2023""","""01/10/2024""","""221109""",2,"""ANALISIS DE MUESTRAS QUIMICAS""","""TECNICO""","""PRESENCIAL""",23,1,202402
