CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO,tasa_desercion,duracion_dias,duracion_meses,mes_inicio,año_inicio,tiene_desercion
13,REGIONAL BOLIVAR,9304,CENTRO DE COMERCIO Y SERVICIOS,12709991,2023-02-27,2024-12-16,635503,103,COCINA.,TECNICO,PRESENCIAL,33,0,202402,0,658,21.6,2,2023,FALSE
19,REGIONAL CAUCA,9113,CENTRO AGROPECUARIO,12860879,2023-10-17,2025-03-01,635604,1,SERVICIOS DE BARISMO,TECNICO,PRESENCIAL,21,0,202402,0,501,16.5,10,2023,FALSE
76,REGIONAL VALLE,9544,CENTRO DE BIOTECNOLOGIA INDUSTRIAL,12710859,2023-02-27,2024-12-16,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,39,0,202402,0,658,21.6,2,2023,FALSE
19,REGIONAL CAUCA,9113,CENTRO AGROPECUARIO,12615282,2022-10-06,2024-10-05,112005,101,GESTION DEL TALENTO HUMANO,TECNOLOGO,PRESENCIAL,24,0,202402,0,730,24,10,2022,FALSE
20,REGIONAL CESAR,9520,CENTRO AGROEMPRESARIAL,12715260,2023-03-06,2024-12-13,134200,2,RECURSOS HUMANOS .,TECNICO,PRESENCIAL,24,0,202402,0,648,21.3,3,2023,FALSE
76,REGIONAL VALLE,9124,CENTRO AGROPECUARIO DE BUGA,12713214,2023-03-01,2024-12-15,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,22,0,202402,0,655,21.5,3,2023,FALSE
17,REGIONAL CALDAS,9112,CENTRO PARA LA FORMACION CAFETERA,12721335,2023-03-27,2025-06-26,723179,1,GESTION AGROEMPRESARIAL,TECNOLOGO,VIRTUAL,31,0,202402,0,822,27,3,2023,FALSE
13,REGIONAL BOLIVAR,9304,CENTRO DE COMERCIO Y SERVICIOS,12909270,2024-02-08,2024-03-06,13410029,2,ADMINISTRACION DE RECURSOS HUMANOS,CURSO ESPECIAL,VIRTUAL,80,1,202402,0.0125,27,0.9,2,2024,TRUE
11,REGIONAL DISTRITO CAPITAL,9405,CENTRO DE SERVICIOS FINANCIEROS,12914465,2024-02-19,2024-02-27,12110081,1,LIDERAZGO EFECTIVO,CURSO ESPECIAL,PRESENCIAL,25,0,202402,0,8,0.3,2,2024,FALSE
13,REGIONAL BOLIVAR,9218,CENTRO PARA LA INDUSTRIA PETROQUIMICA,12740276,2023-03-29,2024-12-16,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,32,0,202402,0,628,20.7,3,2023,FALSE
8,REGIONAL ATLANTICO,9302,CENTRO DE COMERCIO Y SERVICIOS,12918237,2024-02-06,2024-02-27,63220082,1,MERCADEO Y VENTAS,CURSO ESPECIAL,PRESENCIAL,24,0,202402,0,21,0.7,2,2024,FALSE
20,REGIONAL CESAR,9520,CENTRO AGROEMPRESARIAL,12715268,2023-03-06,2024-12-13,134101,2,ASISTENCIA ADMINISTRATIVA .,TECNICO,PRESENCIAL,42,0,202402,0,648,21.3,3,2023,FALSE
23,REGIONAL CORDOBA,9115,CENTRO AGROPECUARIO Y DE BIOTECNOLOGIA EL PORVENIR,12747367,2023-04-13,2024-11-20,233104,2,PROGRAMACION DE SOFTWARE .,TECNICO,PRESENCIAL,26,0,202402,0,587,19.3,4,2023,FALSE
5,REGIONAL ANTIOQUIA,9206,CENTRO TEXTIL Y DE GESTION INDUSTRIAL,12687974,2022-12-05,2024-03-04,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,16,0,202402,0,455,15,12,2022,FALSE
19,REGIONAL CAUCA,9113,CENTRO AGROPECUARIO,12786356,2023-06-21,2024-09-20,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,21,0,202402,0,457,15,6,2023,FALSE
66,REGIONAL RISARALDA,9121,CENTRO ATENCION SECTOR AGROPECUARIO,12729995,2023-03-16,2024-11-30,635503,103,COCINA.,TECNICO,PRESENCIAL,33,0,202402,0,625,20.6,3,2023,FALSE
73,REGIONAL TOLIMA,9310,CENTRO DE COMERCIO Y SERVICIOS,12706192,2023-03-11,2024-11-30,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,26,0,202402,0,630,20.7,3,2023,FALSE
13,REGIONAL BOLIVAR,9218,CENTRO PARA LA INDUSTRIA PETROQUIMICA,12910192,2024-02-09,2024-03-13,51240087,1,ENGLISH DOES WORK - LEVEL 1,CURSO ESPECIAL,VIRTUAL,80,2,202402,0.025,33,1.1,2,2024,TRUE
11,REGIONAL DISTRITO CAPITAL,9405,CENTRO DE SERVICIOS FINANCIEROS,12910682,2024-02-09,2024-03-07,12310175,1,CUENTAS CONTABLES,CURSO ESPECIAL,VIRTUAL,80,2,202402,0.025,27,0.9,2,2024,TRUE
68,REGIONAL SANTANDER,9309,CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS,12907634,2024-02-06,2024-03-08,51240087,1,ENGLISH DOES WORK - LEVEL 1,CURSO ESPECIAL,VIRTUAL,80,2,202402,0.025,31,1,2,2024,TRUE
13,REGIONAL BOLIVAR,9304,CENTRO DE COMERCIO Y SERVICIOS,12913777,2024-02-19,2024-02-27,33110233,2,PRIMEROS AUXILIOS,CURSO ESPECIAL,PRESENCIAL,32,0,202402,0,8,0.3,2,2024,FALSE
20,REGIONAL CESAR,9520,CENTRO AGROEMPRESARIAL,12715266,2023-03-06,2024-12-13,134101,2,ASISTENCIA ADMINISTRATIVA .,TECNICO,PRESENCIAL,40,0,202402,0,648,21.3,3,2023,FALSE
13,REGIONAL BOLIVAR,9104,CENTRO AGROEMPRESARIAL Y MINERO,12731676,2023-03-22,2024-11-29,635239,1,PANIFICACION,TECNICO,PRESENCIAL,30,0,202402,0,618,20.3,3,2023,FALSE
68,REGIONAL SANTANDER,9225,CENTRO INDUSTRIAL DEL DISEÑO Y LA MANUFACTURA,12905894,2024-02-12,2025-12-11,233108,1,SISTEMAS TELEINFORMATICOS,TECNICO,PRESENCIAL,34,0,202402,0,668,22,2,2024,FALSE
73,REGIONAL TOLIMA,9226,CENTRO DE INDUSTRIA Y CONSTRUCCION,12617948,2022-10-06,2024-01-05,832202,2,INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES,TECNICO,PRESENCIAL,26,1,202402,0.038461538461538464,456,15,10,2022,TRUE
76,REGIONAL VALLE,9227,CENTRO DE ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL - CEAI,12702841,2023-03-01,2024-11-30,233104,2,PROGRAMACION DE SOFTWARE .,TECNICO,PRESENCIAL,30,0,202402,0,640,21.1,3,2023,FALSE
20,REGIONAL CESAR,9520,CENTRO AGROEMPRESARIAL,12617486,2022-10-06,2024-01-05,134101,2,ASISTENCIA ADMINISTRATIVA .,TECNICO,PRESENCIAL,34,0,202402,0,456,15,10,2022,FALSE
76,REGIONAL VALLE,9124,CENTRO AGROPECUARIO DE BUGA,12712018,2023-03-01,2024-12-15,222301,1,MONITOREO AMBIENTAL,TECNICO,PRESENCIAL,16,0,202402,0,655,21.5,3,2023,FALSE
20,REGIONAL CESAR,9114,CENTRO BIOTECNOLOGICO DEL CARIBE,12717770,2023-03-11,2024-12-02,733302,2,MANEJO DE VIVEROS,TECNICO,PRESENCIAL,30,0,202402,0,632,20.8,3,2023,FALSE
20,REGIONAL CESAR,9520,CENTRO AGROEMPRESARIAL,12774555,2023-07-10,2024-10-09,733410,101,PRODUCCION AGROPECUARIA,TECNICO,PRESENCIAL,25,0,202402,0,457,15,7,2023,FALSE
11,REGIONAL DISTRITO CAPITAL,9215,CENTRO DE MATERIALES Y ENSAYOS,12709121,2023-03-13,2024-12-16,233104,2,PROGRAMACION DE SOFTWARE .,TECNICO,PRESENCIAL,35,0,202402,0,644,21.2,3,2023,FALSE
76,REGIONAL VALLE,9124,CENTRO AGROPECUARIO DE BUGA,12713165,2023-03-01,2024-12-15,635503,103,COCINA.,TECNICO,PRESENCIAL,28,1,202402,0.03571428571428571,655,21.5,3,2023,TRUE
63,REGIONAL QUINDIO,9538,CENTRO DE COMERCIO Y TURISMO,12911231,2024-02-16,2024-04-26,51240076,1,INGLES BASICO - NIVEL 4,CURSO ESPECIAL,PRESENCIAL,45,0,202402,0,70,2.3,2,2024,FALSE
13,REGIONAL BOLIVAR,9104,CENTRO AGROEMPRESARIAL Y MINERO,12874220,2024-01-22,2025-04-21,635503,103,COCINA.,TECNICO,PRESENCIAL,30,1,202402,0.03333333333333333,455,15,1,2024,TRUE
68,REGIONAL SANTANDER,9546,CENTRO DE GESTION AGROEMPRESARIAL DEL ORIENTE,12773263,2023-07-10,2025-07-09,621201,102,GESTION EMPRESARIAL,TECNOLOGO,PRESENCIAL,20,0,202402,0,730,24,7,2023,FALSE
5,REGIONAL ANTIOQUIA,9401,CENTRO DE SERVICIOS DE SALUD,12820929,2023-10-02,2025-12-31,525214,2,ACTIVIDAD FISICA,TECNOLOGO,PRESENCIAL,26,0,202402,0,821,27,10,2023,FALSE
19,REGIONAL CAUCA,9307,CENTRO DE COMERCIO Y SERVICIOS,12915130,2024-02-15,2024-03-07,13530025,2,SERVICIO AL CLIENTE,CURSO ESPECIAL,PRESENCIAL,28,0,202402,0,21,0.7,2,2024,FALSE
17,REGIONAL CALDAS,9306,CENTRO DE COMERCIO Y SERVICIOS,12617489,2022-10-06,2024-04-05,331120,3,ENFERMERIA.,TECNICO,PRESENCIAL,20,0,202402,0,547,18,10,2022,FALSE
73,REGIONAL TOLIMA,9226,CENTRO DE INDUSTRIA Y CONSTRUCCION,12670458,2023-01-23,2024-04-22,838318,1,MANTENIMIENTO DE MOTOCICLETAS Y MOTOCARROS.,TECNICO,PRESENCIAL,26,7,202402,0.2692307692307692,455,15,1,2023,TRUE
54,REGIONAL NORTE DE SANTANDER,9119,CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO,12905088,2024-02-12,2024-02-29,73110000,1,SEGURIDAD Y SALUD EN LABORES MINERAS SUBTERRANEAS - AVANZADO PARA PERSONAL OPERATIVO,CURSO ESPECIAL,PRESENCIAL,46,0,202402,0,17,0.6,2,2024,FALSE
11,REGIONAL DISTRITO CAPITAL,9215,CENTRO DE MATERIALES Y ENSAYOS,12711237,2023-02-27,2024-05-26,233104,2,PROGRAMACION DE SOFTWARE .,TECNICO,PRESENCIAL,25,0,202402,0,454,14.9,2,2023,FALSE
8,REGIONAL ATLANTICO,9207,CENTRO NACIONAL COLOMBO ALEMAN,12904777,2024-01-22,2024-04-01,41311582,1,CURSO INTRODUCTORIO A LA FORMACION PROFESIONAL INTEGRAL,CURSO ESPECIAL,PRESENCIAL,23,0,202402,0,70,2.3,1,2024,FALSE
86,REGIONAL PUTUMAYO,9518,CENTRO AGROFORESTAL Y ACUICOLA ARAPAIMA,12912115,2024-02-12,2024-03-14,51240087,1,ENGLISH DOES WORK - LEVEL 1,CURSO ESPECIAL,VIRTUAL,80,1,202402,0.0125,31,1,2,2024,TRUE
23,REGIONAL CORDOBA,9523,"CENTRO DE COMERCIO, INDUSTRIA Y TURISMO DE CORDOBA",12617754,2022-10-06,2024-01-05,222301,1,MONITOREO AMBIENTAL,TECNICO,PRESENCIAL,24,1,202402,0.041666666666666664,456,15,10,2022,TRUE
76,REGIONAL VALLE,9229,CENTRO DE DISEÑO TECNOLOGICO INDUSTRIAL,12823391,2023-10-02,2024-03-17,935156,2,MANEJO DE MAQUINAS DE CONFECCION INDUSTRIAL PARA ROPA INTERIOR Y DEPORTIVA,OPERARIO,PRESENCIAL,29,3,202402,0.10344827586206896,167,5.5,10,2023,TRUE
8,REGIONAL ATLANTICO,9208,CENTRO INDUSTRIAL Y DE AVIACION,12922327,2024-02-22,2024-03-26,21720197,1,CONCEPTOS Y USOS PARA ADMINISTRADORES DE BASES DE DATOS CON MICROSOFT ACCESS.,CURSO ESPECIAL,VIRTUAL,80,4,202402,0.05,33,1.1,2,2024,TRUE
68,REGIONAL SANTANDER,9540,CENTRO INDUSTRIAL Y DEL DESARROLLO TECNOLOGICO,12720046,2023-03-28,2024-11-30,733410,101,PRODUCCION AGROPECUARIA,TECNICO,PRESENCIAL,30,0,202402,0,613,20.2,3,2023,FALSE
73,REGIONAL TOLIMA,9310,CENTRO DE COMERCIO Y SERVICIOS,12881926,2023-11-20,2026-02-19,228118,1,ANALISIS Y DESARROLLO DE SOFTWARE.,TECNOLOGO,VIRTUAL,97,1,202402,0.010309278350515464,822,27,11,2023,TRUE
70,REGIONAL SUCRE,9542,"CENTRO DE LA INNOVACION, LA TECNOLOGIA Y LOS SERVICIOS",12675321,2023-02-01,2024-12-31,733302,2,MANEJO DE VIVEROS,TECNICO,PRESENCIAL,28,0,202402,0,699,23,2,2023,FALSE
15,REGIONAL BOYACA,9305,CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,12910966,2024-02-12,2024-03-08,51130033,1,ADMINISTRACION DOCUMENTAL EN EL ENTORNO LABORAL,CURSO ESPECIAL,VIRTUAL,80,2,202402,0.025,25,0.8,2,2024,TRUE
5,REGIONAL ANTIOQUIA,9204,CENTRO DE TECNOLOGIA DE LA MANUFACTURA AVANZADA.,12449794,2022-01-24,2024-01-23,821609,1,MANTENIMIENTO MECANICO INDUSTRIAL,TECNOLOGO,PRESENCIAL,13,0,202402,0,729,24,1,2022,FALSE
63,REGIONAL QUINDIO,9120,CENTRO AGROINDUSTRIAL,12747836,2023-04-17,2024-10-16,733410,101,PRODUCCION AGROPECUARIA,TECNICO,PRESENCIAL,22,0,202402,0,548,18,4,2023,FALSE
66,REGIONAL RISARALDA,9121,CENTRO ATENCION SECTOR AGROPECUARIO,12915369,2024-02-20,2024-05-21,63520166,1,PROCESOS BASICOS DE PANADERIA,CURSO ESPECIAL,PRESENCIAL,24,0,202402,0,91,3,2,2024,FALSE
25,REGIONAL CUNDINAMARCA,9512,CENTRO DE BIOTECNOLOGIA AGROPECUARIA,12651851,2022-10-06,2024-01-06,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,13,0,202402,0,457,15,10,2022,FALSE
27,REGIONAL CHOCO,9522,"CENTRO DE RECURSOS NATURALES, INDUSTRIA Y BIODIVERSIDAD",12705673,2023-02-27,2024-11-15,733410,101,PRODUCCION AGROPECUARIA,TECNICO,PRESENCIAL,20,0,202402,0,627,20.6,2,2023,FALSE
68,REGIONAL SANTANDER,9309,CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS,12627053,2022-09-05,2024-12-04,228118,1,ANALISIS Y DESARROLLO DE SOFTWARE.,TECNOLOGO,VIRTUAL,8,0,202402,0,821,27,9,2022,FALSE
73,REGIONAL TOLIMA,9310,CENTRO DE COMERCIO Y SERVICIOS,12907525,2024-02-08,2024-02-24,13410564,1,MANEJO INTERMEDIO DE LA HERRAMIENTA DE HOJAS DE CALCULO EXCEL,CURSO ESPECIAL,PRESENCIAL,29,0,202402,0,16,0.5,2,2024,FALSE
27,REGIONAL CHOCO,9522,"CENTRO DE RECURSOS NATURALES, INDUSTRIA Y BIODIVERSIDAD",12876812,2024-01-22,2025-04-21,832202,2,INSTALACION DE SISTEMAS ELECTRICOS RESIDENCIALES Y COMERCIALES,TECNICO,PRESENCIAL,35,0,202402,0,455,15,1,2024,FALSE
52,REGIONAL NARIÑO,9534,CENTRO SUR COLOMBIANO DE LOGISTICA INTERNACIONAL,12929052,2024-02-27,2024-03-25,12310017,1,ADMINISTRACION Y CONTROL DE INVENTARIOS,CURSO ESPECIAL,VIRTUAL,80,0,202402,0,27,0.9,2,2024,FALSE
20,REGIONAL CESAR,9520,CENTRO AGROEMPRESARIAL,12875607,2024-01-22,2025-04-21,631101,2,ASESORIA COMERCIAL,TECNICO,PRESENCIAL,30,1,202402,0.03333333333333333,455,15,1,2024,TRUE
8,REGIONAL ATLANTICO,9207,CENTRO NACIONAL COLOMBO ALEMAN,12920570,2024-02-09,2024-04-05,21730067,1,"INFORMATICA: MICROSOFT WORD, EXCEL E INTERNET",CURSO ESPECIAL,PRESENCIAL,25,0,202402,0,56,1.8,2,2024,FALSE
25,REGIONAL CUNDINAMARCA,9511,CENTRO DE LA TECNOLOGIA DEL DISEÑO Y LA PRODUCTIVIDAD EMPRESARIAL,12906551,2024-02-05,2024-03-01,13410029,2,ADMINISTRACION DE RECURSOS HUMANOS,CURSO ESPECIAL,VIRTUAL,80,47,202402,0.5875,25,0.8,2,2024,TRUE
13,REGIONAL BOLIVAR,9218,CENTRO PARA LA INDUSTRIA PETROQUIMICA,12738704,2023-03-27,2024-12-16,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,32,0,202402,0,630,20.7,3,2023,FALSE
20,REGIONAL CESAR,9114,CENTRO BIOTECNOLOGICO DEL CARIBE,12877040,2024-01-22,2026-01-21,921321,1,PROCESAMIENTO DE ALIMENTOS,TECNOLOGO,PRESENCIAL,33,0,202402,0,730,24,1,2024,FALSE
19,REGIONAL CAUCA,9221,CENTRO DE TELEINFORMATICA Y PRODUCCION INDUSTRIAL,12917063,2024-02-21,2024-03-07,41311536,1,DISEÑO DE CABLEADO DE REDES DE DATOS PARA TELECOMUNICACIONES,CURSO ESPECIAL,PRESENCIAL,19,0,202402,0,15,0.5,2,2024,FALSE
19,REGIONAL CAUCA,9307,CENTRO DE COMERCIO Y SERVICIOS,12927430,2024-02-25,2024-06-30,62330148,1,DESARROLLO DE PROYECTOS EMPRENDEDORES EN PROCESAMIENTO DE ALIMENTOS,CURSO ESPECIAL,PRESENCIAL,22,0,202402,0,126,4.1,2,2024,FALSE
63,REGIONAL QUINDIO,9120,CENTRO AGROINDUSTRIAL,12910575,2024-02-14,2024-03-13,93610000,1,MANIPULACION DE ALIMENTOS,CURSO ESPECIAL,PRESENCIAL,28,0,202402,0,28,0.9,2,2024,FALSE
47,REGIONAL MAGDALENA,9529,CENTRO DE LOGISTICA Y PROMOCION ECOTURISTICA DEL MAGDALENA,12700316,2023-02-11,2024-12-16,134101,2,ASISTENCIA ADMINISTRATIVA .,TECNICO,PRESENCIAL,28,0,202402,0,674,22.2,2,2023,FALSE
18,REGIONAL CAQUETA,9516,CENTRO TECNOLOGICO DE LA AMAZONIA,12696979,2023-02-06,2024-12-16,941106,1,MECANIZADO EN TORNO Y FRESADORA CONVENCIONAL,TECNICO,PRESENCIAL,21,0,202402,0,679,22.3,2,2023,FALSE
13,REGIONAL BOLIVAR,9304,CENTRO DE COMERCIO Y SERVICIOS,12911560,2024-02-18,2024-02-23,63720044,1,ESTRATEGIAS PEDAGOGICAS PARA LA ATENCION DE NIÑOS DE 6 A 12 AÑOS,CURSO ESPECIAL,PRESENCIAL,38,2,202402,0.05263157894736842,5,0.2,2,2024,TRUE
25,REGIONAL CUNDINAMARCA,9512,CENTRO DE BIOTECNOLOGIA AGROPECUARIA,12671449,2023-01-23,2024-04-22,233104,1,PROGRAMACION DE SOFTWARE .,TECNICO,PRESENCIAL,19,0,202402,0,455,15,1,2023,FALSE
5,REGIONAL ANTIOQUIA,9503,"CENTRO DE LA INNOVACION, LA AGROINDUSTRIA Y LA AVIACION",12893692,2023-11-25,2025-05-24,122115,100,GESTION ADMINISTRATIVA,TECNOLOGO,PRESENCIAL,23,2,202402,0.08695652173913043,546,18,11,2023,TRUE
63,REGIONAL QUINDIO,9538,CENTRO DE COMERCIO Y TURISMO,12721535,2023-03-27,2025-06-26,228118,1,ANALISIS Y DESARROLLO DE SOFTWARE.,TECNOLOGO,VIRTUAL,49,0,202402,0,822,27,3,2023,FALSE
11,REGIONAL DISTRITO CAPITAL,9406,"CENTRO NACIONAL DE HOTELERIA, TURISMO Y ALIMENTOS",12620459,2022-10-06,2024-01-05,633400,2,SERVICIO DE RECEPCION HOTELERA,TECNICO,PRESENCIAL,20,0,202402,0,456,15,10,2022,FALSE
17,REGIONAL CALDAS,9112,CENTRO PARA LA FORMACION CAFETERA,12773101,2023-07-10,2024-10-09,936113,1,ELABORACION DE PRODUCTOS ALIMENTICIOS.,TECNICO,PRESENCIAL,24,3,202402,0.125,457,15,7,2023,TRUE
73,REGIONAL TOLIMA,9310,CENTRO DE COMERCIO Y SERVICIOS,12839606,2023-09-11,2024-12-10,635503,103,COCINA.,TECNICO,PRESENCIAL,25,0,202402,0,456,15,9,2023,FALSE
76,REGIONAL VALLE,9124,CENTRO AGROPECUARIO DE BUGA,12710731,2023-03-01,2024-12-15,524704,1,INTEGRACION DE CONTENIDOS DIGITALES.,TECNICO,PRESENCIAL,19,0,202402,0,655,21.5,3,2023,FALSE
76,REGIONAL VALLE,9543,CENTRO DE TECNOLOGIAS AGROINDUSTRIALES,12697394,2023-02-28,2024-11-30,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,31,0,202402,0,641,21.1,2,2023,FALSE
8,REGIONAL ATLANTICO,9207,CENTRO NACIONAL COLOMBO ALEMAN,12904505,2024-01-23,2024-04-04,41311608,1,EVALUACION DEL APRENDIZAJE EN LA FORMACION PROFESIONAL INTEGRAL,CURSO ESPECIAL,PRESENCIAL,24,0,202402,0,72,2.4,1,2024,FALSE
76,REGIONAL VALLE,9311,CENTRO DE GESTION TECNOLOGICA DE SERVICIOS,12696746,2023-02-20,2024-11-30,134101,2,ASISTENCIA ADMINISTRATIVA .,TECNICO,PRESENCIAL,35,0,202402,0,649,21.3,2,2023,FALSE
23,REGIONAL CORDOBA,9523,"CENTRO DE COMERCIO, INDUSTRIA Y TURISMO DE CORDOBA",12834913,2023-09-11,2025-12-10,228118,1,ANALISIS Y DESARROLLO DE SOFTWARE.,TECNOLOGO,VIRTUAL,49,0,202402,0,821,27,9,2023,FALSE
5,REGIONAL ANTIOQUIA,9127,CENTRO DE FORMACION MINERO AMBIENTAL,12771654,2023-07-10,2024-10-09,133100,2,CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.,TECNICO,PRESENCIAL,34,0,202402,0,457,15,7,2023,FALSE
25,REGIONAL CUNDINAMARCA,9510,CENTRO AGROECOLOGICO Y EMPRESARIAL,12705341,2023-02-20,2024-12-20,134101,2,ASISTENCIA ADMINISTRATIVA .,TECNICO,PRESENCIAL,21,0,202402,0,669,22,2,2023,FALSE
50,REGIONAL META,9117,CENTRO AGROINDUSTRIAL DEL META,12709936,2023-02-25,2024-11-30,733193,1,SISTEMAS AGROPECUARIOS ECOLOGICOS.,TECNICO,PRESENCIAL,27,0,202402,0,644,21.2,2,2023,FALSE
54,REGIONAL NORTE DE SANTANDER,9537,"CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS",12719775,2023-03-21,2024-12-06,233101,1,SISTEMAS.,TECNICO,PRESENCIAL,30,0,202402,0,626,20.6,3,2023,FALSE
11,REGIONAL DISTRITO CAPITAL,9406,"CENTRO NACIONAL DE HOTELERIA, TURISMO Y ALIMENTOS",12826072,2023-10-02,2026-01-01,621600,1,COORDINACION DE SERVICIOS HOTELEROS,TECNOLOGO,PRESENCIAL,15,1,202402,0.06666666666666667,822,27,10,2023,TRUE
76,REGIONAL VALLE,9125,CENTRO LATINOAMERICANO DE ESPECIES MENORES,12692856,2023-02-01,2024-12-16,633100,1,OPERACION TURISTICA LOCAL,TECNICO,PRESENCIAL,14,2,202402,0.14285714285714285,684,22.5,2,2023,TRUE
66,REGIONAL RISARALDA,9308,CENTRO DE COMERCIO Y SERVICIOS,12874350,2024-01-22,2026-01-21,822202,1,GESTION LOGISTICA,TECNOLOGO,PRESENCIAL,30,1,202402,0.03333333333333333,730,24,1,2024,TRUE
52,REGIONAL NARIÑO,9535,CENTRO AGROINDUSTRIAL Y PESQUERO DE LA COSTA PACIFICA,12770321,2023-07-10,2024-10-09,134101,2,ASISTENCIA ADMINISTRATIVA .,TECNICO,PRESENCIAL,34,0,202402,0,457,15,7,2023,FALSE
68,REGIONAL SANTANDER,9309,CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS,12670796,2023-01-23,2025-01-22,122115,100,GESTION ADMINISTRATIVA,TECNOLOGO,PRESENCIAL,25,0,202402,0,730,24,1,2023,FALSE
76,REGIONAL VALLE,9544,CENTRO DE BIOTECNOLOGIA INDUSTRIAL,12429595,2021-11-16,2024-03-21,222102,1,CONTROL DE BIOPROCESOS INDUSTRIALES,TECNOLOGO,PRESENCIAL,20,0,202402,0,856,28.2,11,2021,FALSE
15,REGIONAL BOYACA,9305,CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,12693735,2023-03-01,2024-12-13,133100,2,CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.,TECNICO,PRESENCIAL,25,0,202402,0,653,21.5,3,2023,FALSE
19,REGIONAL CAUCA,9307,CENTRO DE COMERCIO Y SERVICIOS,12561108,2022-07-18,2024-07-17,121202,101,GESTION BANCARIA Y DE ENTIDADES FINANCIERAS,TECNOLOGO,PRESENCIAL,17,0,202402,0,730,24,7,2022,FALSE
11,REGIONAL DISTRITO CAPITAL,9211,CENTRO DE GESTION INDUSTRIAL,12671245,2023-01-23,2025-01-22,226245,1,GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO,TECNOLOGO,PRESENCIAL,22,0,202402,0,730,24,1,2023,FALSE
11,REGIONAL DISTRITO CAPITAL,9209,CENTRO DE TECNOLOGIAS PARA LA CONSTRUCCION Y LA MADERA,12654203,2022-10-06,2024-01-06,845102,1,OPERACION DE MAQUINARIA PESADA PARA EXCAVACION.,TECNICO,PRESENCIAL,18,0,202402,0,457,15,10,2022,FALSE
5,REGIONAL ANTIOQUIA,9127,CENTRO DE FORMACION MINERO AMBIENTAL,12469639,2021-12-17,2024-03-16,721103,1,SUPERVISION DE PROCESOS MINEROS,TECNOLOGO,PRESENCIAL,17,0,202402,0,820,27,12,2021,FALSE
73,REGIONAL TOLIMA,9226,CENTRO DE INDUSTRIA Y CONSTRUCCION,12910423,2024-02-12,2024-02-27,86110505,1,"PALETERO, SEÑALIZADOR DE VIAS EN OBRAS CIVILES",CURSO ESPECIAL,PRESENCIAL,27,0,202402,0,15,0.5,2,2024,FALSE
76,REGIONAL VALLE,9544,CENTRO DE BIOTECNOLOGIA INDUSTRIAL,12901568,2024-02-05,2024-03-13,13350037,1,"DISEÑO, LIQUIDACION Y PAGO DE NOMINA.",CURSO ESPECIAL,PRESENCIAL,15,0,202402,0,37,1.2,2,2024,FALSE
68,REGIONAL SANTANDER,9541,CENTRO AGROTURISTICO,12907717,2024-02-07,2024-03-05,73310066,2,"AGRICULTURA ECOLOGICA: FERTILIZACION, SUELOS Y CULTIVOS",CURSO ESPECIAL,VIRTUAL,80,3,202402,0.0375,27,0.9,2,2024,TRUE
13,REGIONAL BOLIVAR,9304,CENTRO DE COMERCIO Y SERVICIOS,12929086,2024-02-27,2024-03-29,51240087,1,ENGLISH DOES WORK - LEVEL 1,CURSO ESPECIAL,VIRTUAL,80,1,202402,0.0125,31,1,2,2024,TRUE
5,REGIONAL ANTIOQUIA,9206,CENTRO TEXTIL Y DE GESTION INDUSTRIAL,12824409,2023-10-02,2024-10-01,221109,2,ANALISIS DE MUESTRAS QUIMICAS,TECNICO,PRESENCIAL,23,1,202402,0.043478260869565216,365,12,10,2023,TRUE
73,REGIONAL TOLIMA,9226,CENTRO DE INDUSTRIA Y CONSTRUCCION,12773592,2023-07-10,2024-07-09,832422,1,INSTALACION Y REPARACION DE RED DE FIBRA OPTICA,TECNICO,PRESENCIAL,28,6,202402,0.21428571428571427,365,12,7,2023,TRUE
