CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO,tasa_desercion,duracion_dias,duracion_meses,mes_inicio,año_inicio,tiene_desercion
5,REGIONAL ANTIOQUIA,9402,CENTRO DE SERVICIOS Y GESTION EMPRESARIAL,12770741,2023-07-10,2024-10-09,133100,2,CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS.,TECNICO,PRESENCIAL,17,0,202402,0,457,15,7,2023,FALSE
68,REGIONAL SANTANDER,9309,CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS,12715183,2023-03-15,2024-12-16,525307,1,JUZGAMIENTO Y REGLAMENTACION DEPORTIVA,TECNICO,PRESENCIAL,20,3,202402,0.15,642,21.1,3,2023,TRUE
15,REGIONAL BOYACA,9305,CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,12924807,2024-02-26,2024-05-11,63310028,2,EMPRENDEDOR EN DESARROLLO DE ACTIVIDADES TURISTICAS EN ESPACIOS NATURALES,CURSO ESPECIAL,PRESENCIAL,30,0,202402,0,75,2.5,2,2024,FALSE
50,REGIONAL META,9117,CENTRO AGROINDUSTRIAL DEL META,12875251,2024-01-22,2025-04-21,733410,101,PRODUCCION AGROPECUARIA,TECNICO,PRESENCIAL,21,0,202402,0,455,15,1,2024,FALSE
54,REGIONAL NORTE DE SANTANDER,9119,CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO,12905590,2024-02-05,2024-02-29,73130085,1,PRINCIPIOS PARA LA IDENTIFICACION DE PELIGROS Y VALORACION DE RIESGOS EN LABORES MINERAS BAJO TIERRA,CURSO ESPECIAL,PRESENCIAL,28,0,202402,0,24,0.8,2,2024,FALSE
25,REGIONAL CUNDINAMARCA,9513,CENTRO DE DESARROLLO AGROEMPRESARIAL,12918245,2024-02-21,2024-04-02,22230038,1,VERIFICACION DE ESQUEMAS DIFERENCIALES DE AGUA PARA CONSUMO HUMANO Y DOMESTICO,CURSO ESPECIAL,PRESENCIAL,33,0,202402,0,41,1.3,2,2024,FALSE
17,REGIONAL CALDAS,9220,CENTRO DE PROCESOS INDUSTRIALES Y CONSTRUCCION,12929536,2024-02-26,2024-04-23,93310012,1,ELABORACION DE MUEBLES CONTEMPORANEOS,CURSO ESPECIAL,PRESENCIAL,15,0,202402,0,57,1.9,2,2024,FALSE
5,REGIONAL ANTIOQUIA,9203,CENTRO PARA EL DESARROLLO DEL HABITAT Y LA CONSTRUCCION,12914659,2024-02-14,2024-03-18,51240092,1,ENGLISH DOES WORK - LEVEL 6,CURSO ESPECIAL,VIRTUAL,80,4,202402,0.05,33,1.1,2,2024,TRUE
23,REGIONAL CORDOBA,9523,"CENTRO DE COMERCIO, INDUSTRIA Y TURISMO DE CORDOBA",12773039,2023-07-10,2024-07-09,836114,1,CONSTRUCCION DE EDIFICACIONES,TECNICO,PRESENCIAL,25,0,202402,0,365,12,7,2023,FALSE
23,REGIONAL CORDOBA,9523,"CENTRO DE COMERCIO, INDUSTRIA Y TURISMO DE CORDOBA",12670237,2023-01-23,2024-05-22,839317,1,MANTENIMIENTO Y ENSAMBLE DE EQUIPOS ELECTRONICOS.,TECNICO,PRESENCIAL,22,0,202402,0,485,16,1,2023,FALSE
47,REGIONAL MAGDALENA,9118,CENTRO ACUICOLA Y AGROINDUSTRIAL DE GAIRA,12773734,2023-07-10,2024-10-09,233105,1,MANTENIMIENTO DE EQUIPOS DE COMPUTO.,TECNICO,PRESENCIAL,30,0,202402,0,457,15,7,2023,FALSE
15,REGIONAL BOYACA,9111,CENTRO MINERO,12555996,2022-07-18,2024-10-17,225311,1,LEVANTAMIENTOS TOPOGRAFICOS Y GEORREFERENCIACION,TECNOLOGO,PRESENCIAL,24,0,202402,0,822,27,7,2022,FALSE
